,index,Original feature name,Proportions_Train,Proportions_New,Contribution
1,grade:A,grade,0.16019977052660928,0.1741535144172085,0.00116535494158619
2,grade:B,grade,0.2941602238974018,0.27928681007091055,0.0007717123006782099
3,grade:C,grade,0.2687331782064617,0.2863184942079441,0.0011146597197026862
4,grade:D,grade,0.16486161896694082,0.14878863151695346,0.0016487627242528478
5,grade:E,grade,0.07670201700676625,0.08299334590376496,0.0004959607409220648
6,grade:F,grade,0.0282284439773958,0.023313084489448913,0.000940383731892882
7,home_ownership:OWN,home_ownership,0.0892560343995625,0.10868357183906681,0.0038258964006781465
8,home_ownership:MORTGAGE,home_ownership,0.5065464254694018,0.49319629346416716,0.0003565649760434314
9,addr_state:NM_VA,addr_state,0.03603214772081453,0.034158643913235524,0.00010003735110039853
10,addr_state:NY,addr_state,0.08635008632059792,0.08037160348995712,0.0004289494524385339
11,addr_state:OK_TN_MO_LA_MD_NC,addr_state,0.10047503136493775,0.10630168085985552,0.0003284589829974817
12,addr_state:CA,addr_state,0.1533370149157704,0.13789557675958336,0.0016389774431419734
13,addr_state:UT_KY_AZ_NJ,addr_state,0.07874207834264452,0.07561969536493039,0.00012633445732008675
14,addr_state:AR_MI_PA_OH_MN,addr_state,0.11715474441596878,0.12289417564724266,0.0002745052970060831
15,addr_state:RI_MA_DE_SD_IN,addr_state,0.047127829546307516,0.04916241979225541,8.599362284198075e-05
16,addr_state:GA_WA_OR,addr_state,0.06741048929302894,0.06642459878316956,1.4525304139257398e-05
17,addr_state:WI_MT,addr_state,0.01566370352895761,0.01620778258536099,1.857778323641367e-05
18,addr_state:TX,addr_state,0.07816571410189048,0.08240202900065069,0.00022358824202639335
19,addr_state:IL_CT,addr_state,0.05524518266725286,0.05507321405671893,5.361431609106253e-07
20,addr_state:KS_SC_CO_VT_AK_MS,addr_state,0.04916789088218579,0.05295492217889592,0.0002809986334650312
21,addr_state:WV_NH_WY_DC_ME_ID,addr_state,0.015591322903374545,0.015348117047500083,3.823618446791381e-06
22,verification_status:Not Verified,verification_status,0.3178957075608265,0.2814407234489211,0.004440272251511408
23,verification_status:Source Verified,verification_status,0.32177209217538627,0.42642497874583823,0.02946951453373915
24,purpose:credit_card,purpose,0.22406092840215747,0.24228557044270402,0.0014251498206413675
25,purpose:debt_consolidation,purpose,0.5875778761915995,0.5937391651270263,6.427034274540485e-05
26,purpose:oth__med__vacation,purpose,0.06583688087757487,0.060297700750901226,0.0004868175374852254
27,purpose:major_purch__car__home_impr,purpose,0.08953751461016331,0.08598317715284473,0.00014397210855338896
28,initial_list_status:w,initial_list_status,0.3498772210128998,0.6346587697758695,0.1695888897896996
29,term:36,term,0.7249294959091542,0.6724674300749951,0.0039409883635961
30,emp_length:1,emp_length,0.06341078953858692,0.06524196497694101,5.213149100403076e-05
31,emp_length:2-4,emp_length,0.22719742217742367,0.2266311084935905,1.4133591578644533e-06
32,emp_length:5-6,emp_length,0.12194526952400356,0.09918925465573007,0.004700087505045067
33,emp_length:7-9,emp_length,0.14253353635652016,0.1347513856763573,0.0004369352454957492
34,emp_length:10,emp_length,0.32234845641614035,0.3360769804366721,0.0005725771843727762
35,mths_since_issue_d:<38,mths_since_issue_d,0.07551711935833234,1.0,2.388305285283963
36,mths_since_issue_d:38-39,mths_since_issue_d,0.10625475835594111,0.0,0.0
37,mths_since_issue_d:40-41,mths_since_issue_d,0.10351501763942653,0.0,0.0
38,mths_since_issue_d:42-48,mths_since_issue_d,0.2520481036276097,0.0,0.0
39,mths_since_issue_d:49-52,mths_since_issue_d,0.11690543337229377,0.0,0.0
40,mths_since_issue_d:53-64,mths_since_issue_d,0.20463879387070139,0.0,0.0
41,mths_since_issue_d:65-84,mths_since_issue_d,0.09925260302175708,0.0,0.0
42,int_rate:<9.548,int_rate,0.17990874679648713,0.27932955587113567,0.04373944212867417
43,int_rate:9.548-12.025,int_rate,0.16811070482644735,0.18091447515281622,0.0009398183411736332
44,int_rate:12.025-15.74,int_rate,0.34887729607428936,0.3192375099146509,0.0026315655173658236
45,int_rate:15.74-20.281,int_rate,0.22418156277812926,0.17665889326373685,0.01132158955344342
46,mths_since_earliest_cr_line:141-164,mths_since_earliest_cr_line,0.08279003184747526,0.11088973008401924,0.008211536011276197
47,mths_since_earliest_cr_line:165-247,mths_since_earliest_cr_line,0.4403127915330753,0.4165744465606254,0.0013155832401959757
48,mths_since_earliest_cr_line:248-270,mths_since_earliest_cr_line,0.09315922665322711,0.07847653967997645,0.0025182338266180066
